label	TSNE_1	TSNE_2
PANCREAS	27.785473	-1.5388899
PANCREAS	71.40755	-26.653172
PANCREAS	-5.3130116	-23.048672
LUNG	27.86095	-7.2369323
LUNG	27.751125	-6.5474234
UPPER_AERODIGESTIVE_TRACT	30.797888	12.095396
UPPER_AERODIGESTIVE_TRACT	25.205341	26.210072
UPPER_AERODIGESTIVE_TRACT	15.601465	20.053898
UPPER_AERODIGESTIVE_TRACT	25.666319	27.505524
HALT	-26.191374	91.89385
HALT	-26.644989	88.47803
HALT	-49.603203	81.00756
PANCREAS	21.47835	-8.826272
PANCREAS	-2.2373865	-9.533336
PANCREAS	38.060555	4.7628193
HALT	-1.976068	104.10634
HALT	3.7445567	99.94545
PANCREAS	-8.247972	-6.360097
PANCREAS	26.212248	-49.10435
HALT	-52.178276	79.667534
KIDNEY 	-2.960324	25.096018
HALT	-57.170208	97.12605
LARGE_INTESTINE	69.01604	-33.0981
HALT	-49.35992	77.25065
HALT	-50.674503	98.736
STOMACH 	-9.506592	-26.016415
LUNG	23.217007	-25.126032
LUNG	26.661238	5.469652
LUNG	-7.3785768	-23.243692
LUNG	44.60621	31.56841
LUNG	6.290061	-13.670299
LUNG	-34.780155	-19.29193
HALT	-54.782814	86.867775
LARGE_INTESTINE	-4.8653097	-3.7614074
HALT	-56.362152	80.11387
OVARY	5.7000623	18.703371
OVARY	26.131388	-9.37721
SKIN	-49.20932	-20.300343
HALT	-25.869686	41.61574
HALT	-24.834955	90.20287
HALT	5.7201023	101.29271
FIBROBLAST 	-57.284695	-17.876427
SKIN	-42.320328	-78.164986
LUNG	12.048263	29.887264
LUNG	-8.947684	-32.640125
UPPER_AERODIGESTIVE_TRACT	31.094107	20.341177
UPPER_AERODIGESTIVE_TRACT	16.175743	20.650911
UPPER_AERODIGESTIVE_TRACT	18.519098	26.214836
UPPER_AERODIGESTIVE_TRACT	14.993209	24.577868
LUNG	15.307355	-61.072018
HALT	-1.8459392	110.14679
HALT	2.4930208	86.003105
