Gene	AU565_BREAST	BT20_BREAST	BT474_BREAST	BT483_BREAST	BT549_BREAST	CAL120_BREAST	CAL148_BREAST	CAL51_BREAST	CAL851_BREAST	CAMA1_BREAST	DU4475_BREAST	EFM192A_BREAST	EFM19_BREAST	HCC1143_BREAST	HCC1187_BREAST	HCC1395_BREAST	HCC1419_BREAST	HCC1428_BREAST	HCC1500_BREAST	HCC1569_BREAST	HCC1599_BREAST	HCC1806_BREAST	HCC1937_BREAST	HCC1954_BREAST	HCC202_BREAST	HCC2157_BREAST	HCC2218_BREAST	HCC38_BREAST	HCC70_BREAST	HDQP1_BREAST	HMC18_BREAST	HMEL_BREAST	HS578T_BREAST	JIMT1_BREAST	KPL1_BREAST	MCF7_BREAST	MDAMB134VI_BREAST	MDAMB157_BREAST	MDAMB175VII_BREAST	MDAMB231_BREAST	MDAMB361_BREAST	MDAMB415_BREAST	MDAMB436_BREAST	MDAMB453_BREAST	MDAMB468_BREAST	SKBR3_BREAST	T47D_BREAST	UACC812_BREAST	UACC893_BREAST	ZR751_BREAST	ZR7530_BREAST
ABL1	11.67	39.02	56.43	31.95	59.83	13.21	60.94	40.03	6.91	39.38	18.94	14.29	27.52	19.85	60.06	39.59	15.52	24.47	22.59	19.34	24.7	9.84	18.54	31.6	26.04	19.92	13.71	39.4	24.01	8.46	93.28	13.95	54.54	22.92	20.67	16.46	13.27	24.18	20.91	45.33	35.01	10.45	40.75	19.36	17.97	11.68	24.02	7.1	25.12	12.57	15.08
EZH2	37.96	40.31	57.41	40.2	55.41	30.45	61.65	66.72	20.98	91.51	81.71	48.82	30.01	45.31	103.83	124.82	20.14	48.07	40.48	76.46	49.44	7.55	31.0	44.32	72.07	32.33	22.16	33.79	67.08	22.88	28.34	19.88	11.59	22.32	43.65	35.32	38.87	58.2	23.06	71.48	44.3	22.2	49.4	39.7	73.67	33.73	22.88	13.95	21.05	30.94	19.28
PTCH1	0.08	6.31	1.04	2.47	8.68	4.39	3.43	12.83	0.6	0.58	8.1	4.34	0.06	2.92	19.9	4.98	4.43	0.19	0.11	5.44	6.88	2.98	6.4	5.4	0.5	7.8	0.07	57.59	0.94	4.16	0.29	3.11	2.12	5.85	4.3	0.98	0.03	10.51	3.57	8.45	3.5	0.14	6.45	1.62	4.96	5.78	1.44	3.5	6.52	5.87	0.62
C15orf65	1.35	1.55	0.88	3.53	1.35	2.13	2.83	2.41	1.09	3.55	2.09	1.58	0.89	3.54	0.89	1.71	2.01	4.47	6.75	1.33	0.94	0.68	0.8	2.09	3.32	1.98	1.51	2.31	0.86	1.27	0.79	1.31	1.51	0.33	2.39	0.89	15.9	3.0	1.35	0.85	1.75	1.43	5.3	3.08	2.98	1.64	3.61	1.93	1.0	4.88	3.91
TCF7L2	11.0	12.07	5.52	20.08	5.36	5.84	15.53	18.65	6.24	11.86	28.1	7.47	1.45	16.04	37.76	10.75	7.16	18.95	0.48	32.8	13.47	6.5	5.3	12.98	17.13	17.35	9.97	16.8	13.42	9.22	7.47	12.22	4.73	8.35	10.6	5.39	3.45	13.22	13.34	13.67	16.72	17.21	17.79	11.87	12.22	10.1	7.23	14.42	11.77	13.05	9.73
RPL22	976.06	620.78	396.44	272.69	1145.8	804.51	416.24	436.49	422.28	556.25	467.27	398.27	219.78	403.97	946.03	719.92	342.01	475.44	482.67	350.31	559.98	848.97	635.06	578.64	329.23	1068.6	359.99	558.42	602.3	609.18	772.43	199.61	689.99	655.09	824.69	520.66	875.73	1224.6	331.84	823.36	633.59	530.32	514.37	554.11	515.3	1290.3	382.47	495.08	629.58	1797.2	347.06
SLC45A3	21.97	12.44	0.33	4.85	2.47	3.32	13.96	4.57	7.39	0.33	5.65	5.53	2.96	7.06	10.25	5.08	17.1	3.07	0.36	11.88	8.67	3.05	2.42	6.78	3.99	4.31	10.3	5.38	3.45	1.62	3.96	4.68	1.62	7.27	3.05	1.39	0.33	2.61	75.89	5.19	6.44	28.38	7.06	10.26	28.08	20.48	2.45	8.85	26.44	3.54	6.5
LMNA	423.15	364.41	262.62	324.99	522.1	244.77	115.87	209.18	311.6	330.14	158.11	166.33	145.16	248.62	418.09	715.16	274.75	374.41	100.69	554.25	299.0	155.71	639.17	516.97	319.88	300.2	170.43	326.17	517.25	152.25	445.27	605.17	349.87	453.99	241.71	125.75	84.21	251.77	322.5	716.95	266.74	168.49	452.67	218.1	468.8	326.33	328.89	392.43	270.72	155.43	294.68
CREBBP	21.66	21.29	15.51	28.94	15.82	6.01	47.05	30.19	4.36	28.61	13.46	14.5	26.39	33.08	30.45	22.05	21.53	29.56	18.54	28.22	22.05	10.5	22.18	20.08	13.17	10.34	9.25	49.07	36.25	10.45	16.72	9.94	13.32	11.18	20.08	15.33	13.46	28.19	13.83	13.42	30.65	21.14	15.96	19.97	14.49	15.24	17.02	9.76	14.75	24.78	14.3
IL7R	0.08	0.67	0.04	0.08	31.79	10.52	0.09	0.07	16.88	0.01	0.0	0.06	0.03	4.75	0.11	3.93	0.03	0.04	0.1	0.1	0.15	0.63	16.51	6.28	0.2	0.02	0.01	2.78	0.08	2.3	0.42	1.06	11.42	0.07	0.05	0.0	0.03	28.05	0.12	10.77	9.18	0.12	26.75	0.01	6.21	0.13	0.0	0.07	0.05	0.31	0.05
EGFR	31.86	232.84	1.95	1.38	46.5	41.14	6.71	12.19	24.79	0.1	0.17	0.16	0.09	80.28	34.91	25.83	0.07	5.62	0.11	4.87	5.79	39.31	31.96	34.6	9.7	3.05	10.49	25.6	82.72	21.22	5.56	171.2	30.25	39.75	1.27	0.2	0.11	11.4	3.49	53.95	7.75	0.24	26.2	0.11	602.13	20.15	2.99	1.24	16.87	3.02	0.19
EPHA3	0.01	0.01	0.06	0.0	0.36	0.11	0.01	0.02	0.0	0.01	0.01	0.02	0.01	0.34	0.06	0.07	0.06	0.01	0.3	0.01	0.02	0.83	0.14	0.06	0.11	0.0	0.0	0.23	0.02	0.04	0.03	0.05	0.03	0.0	1.18	0.31	0.0	8.84	0.0	0.02	1.0	0.05	0.02	0.0	0.01	0.03	0.01	0.02	0.01	0.05	0.01
RGS7	0.01	0.05	1.06	0.04	0.01	20.11	0.0	1.0	0.08	0.01	1.06	0.01	0.0	1.04	0.02	0.05	0.0	0.88	19.16	0.02	0.39	1.45	1.52	0.06	0.01	0.0	0.01	0.25	0.01	0.0	0.08	0.0	0.2	1.09	0.04	0.01	46.6	9.74	0.13	0.55	0.44	0.03	0.94	0.0	0.07	0.16	0.0	0.04	0.0	0.28	0.0
PPFIBP1	15.45	21.8	15.65	27.49	51.31	33.3	4.47	65.24	10.76	24.29	18.38	5.23	12.41	18.13	41.29	67.85	41.37	18.08	30.73	29.61	9.33	41.75	29.28	16.38	7.54	7.53	11.77	29.87	44.01	12.83	20.26	45.75	52.4	24.26	11.39	11.64	13.46	10.16	11.9	17.37	29.03	10.07	27.11	10.03	20.47	8.88	12.87	1.66	0.85	18.37	17.01
PER1	8.5	7.04	3.35	8.16	7.72	4.09	9.27	13.87	4.41	8.28	3.11	4.04	8.74	11.71	9.1	12.01	14.42	9.89	6.28	8.41	4.9	25.21	7.43	3.33	8.12	3.43	5.51	3.19	2.11	3.65	12.31	97.37	27.98	4.25	12.62	11.4	2.44	6.44	2.25	4.76	9.8	30.39	16.26	4.43	6.05	8.44	8.13	15.66	2.64	14.19	5.73
FBXW7	7.26	31.23	6.37	13.07	7.9	10.66	15.62	28.43	1.39	11.69	8.76	7.18	9.32	8.16	13.9	7.42	20.15	18.19	44.16	16.7	10.49	6.27	21.11	12.38	12.49	12.52	5.9	24.27	7.34	5.14	7.61	48.42	8.82	7.2	8.6	7.88	13.19	10.6	8.9	8.88	11.91	19.21	4.38	43.64	13.93	7.16	5.28	7.53	14.4	11.79	7.71
FGFR2	17.88	6.12	0.65	6.77	16.96	0.46	1.32	81.57	0.56	3.39	0.13	8.53	44.76	6.77	10.14	13.35	0.13	27.3	15.1	37.11	3.26	21.49	26.74	3.08	0.04	7.11	0.31	51.99	1.19	0.92	0.34	13.99	0.07	8.78	12.67	9.8	0.84	4.14	1.38	0.23	2.44	58.01	5.6	1.8	9.43	10.75	29.74	4.85	7.75	6.45	9.05
CNBD1	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.06	0.0	0.04	0.01	0.0	0.0	0.0	0.0	0.0	0.01	0.07	0.16	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHD2	17.77	42.69	13.9	21.03	17.53	18.9	18.95	38.65	11.0	22.44	25.27	11.77	75.53	39.4	26.77	46.3	34.36	18.49	22.84	21.39	23.85	13.54	70.11	25.84	13.33	22.3	13.71	45.82	23.22	21.93	30.61	28.94	28.19	24.2	28.37	22.59	22.95	22.74	20.94	16.69	14.07	32.28	25.23	18.72	14.83	15.04	20.68	18.35	23.11	46.32	17.93
CDKN1A	4.52	13.3	16.37	329.19	13.29	11.44	62.1	24.32	39.46	26.96	81.53	38.62	2.24	71.98	87.72	15.93	26.94	9.55	112.98	8.77	7.35	14.8	42.48	60.29	27.83	1.61	123.19	30.45	75.52	15.33	8.84	520.3	81.36	12.31	73.78	148.11	67.39	21.08	107.96	99.68	167.58	29.7	14.78	8.14	32.43	5.12	19.26	23.05	14.98	83.21	55.49
BTG1	20.85	8.24	17.63	27.8	20.13	20.01	39.73	18.05	86.69	17.45	108.39	8.08	106.17	67.37	43.26	29.55	22.03	42.02	20.61	41.86	98.19	17.91	26.64	33.27	11.97	7.44	13.9	25.26	32.3	23.42	16.99	22.64	26.52	6.18	22.04	13.14	23.42	13.43	11.95	21.48	20.73	48.39	3.78	18.2	19.16	20.47	72.56	25.69	16.61	16.73	17.26
TSHR	0.0	0.0	0.01	0.0	0.0	0.12	0.01	0.03	0.01	0.0	2.41	0.02	0.01	0.16	0.39	0.19	0.04	0.05	0.06	0.12	0.04	0.01	0.57	0.03	0.0	0.11	0.02	0.04	0.06	0.08	0.04	0.02	0.0	0.1	0.0	0.03	0.04	0.12	0.0	0.03	0.13	0.0	0.16	0.03	0.0	0.0	0.0	0.0	0.04	0.08	0.15
CCR7	2.4	0.02	0.2	1.09	0.05	0.0	0.02	0.15	0.06	0.15	1.73	0.6	1.05	0.0	0.18	0.05	0.69	0.12	0.13	0.14	0.01	0.14	0.15	0.39	0.1	0.03	0.11	0.09	0.01	0.03	0.03	0.4	0.37	0.05	0.82	0.43	0.24	0.51	0.92	0.44	0.81	0.1	0.11	0.08	0.41	0.76	1.1	1.51	1.67	1.36	0.32
CDK4	118.48	146.12	196.03	156.61	304.87	1342.9	273.13	289.34	74.69	184.85	243.31	124.93	138.38	192.4	132.96	158.45	164.09	221.75	249.86	206.44	208.08	68.59	116.72	185.77	152.62	154.7	84.82	233.95	134.05	71.23	244.82	86.86	99.55	1203.3	216.56	181.81	230.55	236.43	86.77	154.99	243.48	116.78	189.37	211.28	88.34	117.25	182.94	62.34	92.5	255.24	82.25
MDM2	26.93	19.53	20.15	36.02	11.06	61.05	15.86	45.52	10.45	27.23	26.38	27.68	23.23	104.62	21.03	7.2	24.11	58.69	96.77	25.64	21.12	9.58	15.8	14.55	16.22	9.3	12.95	21.08	10.86	7.84	9.77	339.57	9.6	14.69	34.68	47.38	33.93	13.01	23.66	15.74	31.18	27.79	22.25	26.35	18.43	18.74	31.8	139.99	16.86	97.19	20.46
LIFR	1.54	9.33	1.3	1.5	5.62	6.87	1.25	1.46	0.98	4.59	0.03	0.76	0.12	4.92	6.71	4.2	1.41	5.58	9.47	5.65	2.06	0.99	0.34	9.38	0.08	6.34	0.03	1.26	9.69	0.36	4.17	3.22	9.66	2.31	0.59	0.66	5.85	14.24	1.22	10.1	0.94	16.7	4.86	0.19	1.82	0.32	0.42	1.15	0.08	1.98	0.25
LEF1	0.18	2.41	5.41	0.89	0.35	3.4	35.71	0.3	0.3	2.79	50.07	0.41	0.17	0.46	0.88	6.13	5.65	0.42	12.88	1.75	0.92	0.2	0.21	0.52	0.25	0.17	0.15	0.31	0.14	1.3	0.24	0.76	12.11	2.59	0.48	0.14	0.65	6.17	0.77	3.33	4.18	2.35	10.44	0.73	0.72	0.24	3.11	0.45	0.2	4.16	0.15
GPC3	0.04	0.0	0.64	4.85	0.03	0.33	0.57	196.84	0.08	1.96	0.71	0.31	0.06	1.07	1.23	0.15	45.6	1.07	2.03	30.24	1.25	0.85	0.07	1.3	0.22	1.45	0.61	0.34	0.05	0.02	0.29	0.28	0.05	0.1	0.9	1.01	4.98	0.08	0.76	0.54	1.26	0.16	0.85	0.05	0.35	0.08	0.36	8.36	0.0	0.05	32.57
IKZF1	0.03	0.04	0.55	0.46	0.12	0.03	0.02	0.05	0.05	0.05	6.36	0.06	0.05	0.03	5.97	0.05	0.01	0.07	0.05	0.05	0.54	0.08	0.04	0.08	0.08	0.02	0.01	0.03	0.02	0.04	0.05	0.02	0.03	0.04	0.03	0.01	0.04	0.01	0.15	0.08	0.12	0.06	0.4	0.0	0.16	0.03	0.01	0.36	0.08	1.65	0.04
CDKN1B	26.29	35.3	61.36	73.66	44.86	57.43	90.65	54.49	18.89	41.67	23.1	24.5	75.37	26.63	140.37	34.04	58.72	55.62	106.12	42.27	17.54	22.61	38.11	14.6	25.75	23.68	28.25	61.41	44.7	26.64	24.79	15.02	18.95	22.84	48.26	48.74	139.33	10.42	21.31	18.87	43.77	43.08	27.39	63.99	15.66	22.09	15.8	20.28	41.7	50.69	41.46
FOXL2	0.01	0.0	0.0	0.01	0.54	0.01	0.0	1.25	0.0	0.04	0.1	0.03	0.0	0.05	0.04	0.02	0.01	0.02	0.09	0.08	0.31	1.5	0.09	0.05	0.01	0.03	0.0	5.05	0.0	0.48	0.02	0.23	0.0	4.72	0.01	0.0	0.01	0.96	0.02	0.0	1.41	0.0	0.0	0.02	0.0	0.0	0.01	0.35	0.01	0.03	0.0
RAD51B	4.77	6.15	6.53	6.02	12.8	8.08	9.76	8.86	5.04	13.74	9.1	10.99	9.33	9.88	5.05	14.74	4.8	12.6	10.82	4.2	11.76	6.65	22.73	7.93	9.36	19.49	5.55	9.93	10.76	9.67	11.08	11.2	11.41	6.82	14.74	12.77	7.11	11.3	7.64	8.92	15.83	7.3	0.02	13.79	3.33	2.59	16.39	6.28	3.94	11.03	12.79
PIK3R1	3.86	33.41	9.83	11.97	41.9	4.33	52.56	47.53	2.82	8.31	7.87	5.03	4.66	8.71	15.82	15.27	2.88	33.88	171.73	8.14	8.44	2.35	5.74	62.42	7.7	8.13	5.29	11.72	11.19	3.6	1.83	37.16	5.89	4.01	12.88	13.83	9.04	7.09	11.57	3.98	21.73	11.19	3.13	60.7	25.07	2.38	19.87	3.78	14.87	17.59	12.1
BARD1	7.27	11.58	10.73	5.52	5.83	6.31	7.56	17.07	3.32	9.01	7.33	5.42	7.11	9.67	7.79	12.53	7.06	22.74	7.55	9.6	14.52	3.31	5.62	8.63	5.39	5.01	2.65	18.16	14.95	1.55	4.15	3.22	3.71	5.59	8.61	5.01	7.56	10.54	5.51	7.53	8.39	5.69	5.73	13.78	9.68	6.77	10.36	4.52	8.99	11.42	3.44
POLD1	39.06	42.53	30.15	24.11	40.43	26.67	63.93	62.69	23.01	50.04	33.48	50.81	33.06	63.96	31.61	54.78	18.57	58.75	27.69	36.44	26.04	45.16	111.9	44.88	52.93	33.51	13.43	36.91	60.23	22.65	32.58	39.77	23.77	47.5	45.63	35.88	36.63	26.22	19.98	56.65	58.87	35.17	40.74	46.7	48.8	40.34	25.32	61.77	18.16	28.02	32.54
PRDM2	10.35	12.22	13.46	12.23	16.46	11.64	6.87	14.59	6.63	20.28	11.09	7.57	8.36	11.56	13.22	11.69	14.73	8.82	9.0	16.04	6.5	13.5	10.33	13.8	7.96	18.77	4.27	14.44	15.15	9.2	8.21	15.1	14.02	7.8	10.95	10.09	9.15	28.74	7.25	7.98	13.67	9.65	9.97	6.63	18.33	8.33	10.89	4.4	9.06	19.67	10.31
SMC1A	149.53	65.15	56.05	69.46	80.88	26.81	96.94	93.9	45.99	63.14	117.46	127.23	64.1	41.67	117.28	62.05	46.4	144.13	28.47	79.93	14.52	19.74	52.83	118.9	769.93	51.65	26.36	55.34	36.37	17.39	60.13	63.41	39.42	75.65	67.76	41.69	20.85	63.78	40.19	120.77	155.77	37.4	160.88	40.38	75.8	66.05	64.47	23.93	27.92	44.25	52.34
CHD4	253.49	149.27	117.75	223.89	85.42	111.6	176.0	182.79	73.11	136.94	255.46	102.8	194.93	169.46	201.35	115.38	162.74	207.88	86.31	137.05	89.23	69.81	100.32	171.15	156.37	104.61	109.88	127.97	144.06	99.54	90.0	127.73	77.31	110.98	172.67	150.15	104.93	100.03	156.61	97.17	202.33	83.34	131.16	142.35	143.12	165.64	71.99	63.53	159.99	95.08	127.11
FAM131B	5.37	0.03	0.03	0.93	0.23	0.02	1.39	10.6	0.03	0.02	0.09	0.37	0.0	0.06	0.12	0.05	5.25	0.08	0.05	0.07	0.34	0.1	0.46	12.01	0.27	0.05	0.45	0.24	8.82	0.91	0.13	0.33	0.4	0.22	0.06	0.01	3.08	1.26	8.43	0.01	0.71	0.02	0.37	0.0	0.36	0.85	0.02	0.21	1.83	0.01	0.91
EXT2	43.09	35.27	28.64	25.61	41.28	42.57	34.57	75.37	50.25	25.8	27.99	59.05	24.87	58.76	51.77	45.05	14.94	78.61	46.38	77.68	12.47	30.14	58.37	55.67	29.96	17.87	16.84	63.98	60.69	26.01	32.82	123.67	119.38	121.04	14.86	22.54	12.17	37.12	38.3	61.8	39.33	34.06	51.23	29.62	112.86	25.06	51.29	22.48	32.42	14.78	25.25
PTPN13	8.26	1.87	9.07	20.9	2.12	7.01	1.8	51.24	2.38	10.81	6.81	7.3	19.26	3.75	2.29	0.15	16.6	14.57	8.36	7.23	4.1	11.19	16.81	26.15	7.91	5.75	6.67	10.7	10.48	5.45	6.86	29.95	11.7	6.82	7.13	10.42	16.53	21.29	11.29	2.34	6.14	7.27	2.46	8.74	9.45	8.44	7.98	8.95	17.58	8.57	19.04
KDM5A	15.22	21.67	6.22	18.8	10.67	17.54	13.8	16.55	6.83	7.03	10.86	4.98	12.23	15.29	32.76	17.9	13.93	38.25	14.64	13.82	8.56	8.21	24.11	27.23	10.26	3.71	7.64	18.93	16.9	13.03	10.49	13.1	11.65	19.22	9.58	6.93	17.88	5.95	11.72	8.99	15.38	5.71	19.19	8.02	10.19	7.52	7.78	6.68	13.77	23.06	13.49
THRAP3	60.21	61.03	59.43	55.76	58.23	66.69	76.34	109.73	28.02	61.3	76.36	35.38	53.35	69.46	115.08	86.1	67.75	45.66	58.86	93.81	38.59	23.91	50.41	77.98	59.15	81.22	48.39	62.8	87.99	28.36	61.64	54.02	47.69	46.05	53.05	55.97	31.19	62.17	43.3	75.64	64.26	57.8	94.4	62.25	83.22	43.55	46.14	25.64	36.04	34.41	37.88
SFRP4	0.04	0.01	0.0	0.25	0.06	0.01	0.0	0.02	0.0	0.03	0.0	0.0	1.87	0.12	6.18	0.1	0.01	1.44	0.0	0.1	0.1	0.0	0.08	0.02	0.06	0.01	0.0	3.43	0.0	0.03	0.14	0.0	3.42	0.02	0.0	0.01	0.04	0.01	0.0	0.04	0.0	0.07	0.18	0.0	0.03	0.0	0.0	0.7	0.09	0.04	0.01
PRKACA	18.63	81.43	46.11	40.5	61.06	50.44	65.82	50.9	31.63	56.78	90.41	31.36	77.05	52.12	91.33	93.29	46.57	58.59	50.9	49.01	29.42	36.97	99.21	87.18	61.42	39.87	38.25	99.15	84.4	44.29	31.25	27.28	53.64	50.82	79.97	73.3	47.57	73.73	51.22	52.79	45.34	18.93	60.7	55.41	120.78	26.61	45.38	24.8	26.95	20.32	30.6
KMT2A	19.47	31.6	9.4	13.07	14.6	25.72	19.15	28.07	5.51	10.55	15.81	9.38	10.29	19.92	33.47	11.07	9.0	16.58	7.35	21.89	13.04	15.28	27.02	13.0	9.02	13.75	6.4	23.6	20.4	9.59	15.46	14.6	17.54	15.59	25.67	17.13	6.27	15.17	6.6	22.08	12.31	5.23	12.29	13.51	29.69	7.64	15.32	7.91	10.27	12.56	7.15
FGFR1	0.23	1.29	27.99	68.2	82.12	366.22	36.54	70.14	0.73	62.12	8.24	5.4	2.48	42.57	56.69	40.88	34.96	19.97	249.56	25.66	25.44	0.79	10.65	2.96	6.06	8.64	5.66	27.27	6.48	1.95	20.47	5.15	127.09	64.55	22.82	4.84	2179.4	74.61	34.95	71.83	121.48	3.93	46.0	13.91	21.64	1.08	16.29	106.98	27.69	117.21	9.45
STRN	13.25	18.79	5.46	9.14	8.91	5.88	13.73	11.36	9.1	9.77	6.95	9.68	4.29	13.98	12.77	7.29	9.1	15.2	6.94	13.07	17.47	13.43	12.11	15.95	17.67	7.98	3.42	16.98	19.39	6.36	7.27	7.54	11.65	7.76	9.55	7.03	9.65	16.17	5.64	8.04	12.3	3.1	13.58	5.91	21.1	7.28	6.82	2.51	17.16	10.49	6.96
MUC16	25.2	1.91	0.02	0.8	0.09	0.15	1.44	0.47	5.43	0.02	7.38	1.65	1.53	1.47	0.04	0.07	0.05	0.18	0.04	0.2	3.17	19.42	49.22	24.9	0.76	10.56	0.36	0.12	23.8	83.44	0.02	2.04	0.02	11.82	0.46	1.31	0.01	0.03	0.86	0.02	0.0	0.01	7.25	0.01	4.58	19.69	0.03	1.23	0.51	0.45	0.01
BCOR	27.74	10.59	28.57	29.32	32.32	6.6	77.03	41.28	0.1	21.86	253.15	24.06	20.75	16.59	22.11	17.03	18.62	28.49	15.83	20.39	7.11	10.37	14.29	13.44	8.53	12.87	10.04	9.75	14.3	6.83	7.55	7.3	13.68	10.65	19.95	13.53	3.88	25.99	16.6	12.37	25.32	7.99	27.8	18.03	13.86	19.96	17.33	15.61	3.35	10.86	15.21
PPARG	18.49	44.3	1.0	1.12	8.61	43.15	5.74	16.57	41.98	0.22	16.36	4.36	0.04	4.91	34.42	16.69	17.75	5.21	0.11	12.29	1.91	21.21	41.04	4.91	0.04	5.41	4.11	6.41	24.68	36.37	0.02	3.82	5.78	60.13	4.65	0.66	0.69	12.05	86.71	24.28	7.59	2.58	69.96	0.1	19.17	2.99	0.1	21.69	0.09	2.57	2.34
BUB1B	48.2	82.94	30.63	26.36	50.44	19.37	36.97	90.47	24.93	55.61	47.08	53.83	31.36	54.81	55.35	77.97	21.18	35.47	12.65	50.02	48.27	47.15	54.02	56.37	34.26	33.84	19.08	63.13	53.22	18.14	38.7	24.23	38.6	38.74	35.14	25.62	22.02	68.39	29.17	59.7	48.85	25.67	80.02	75.58	49.73	28.21	44.26	18.53	26.49	44.45	36.31
ZEB1	0.05	0.36	0.06	0.09	22.33	5.13	0.19	16.61	0.09	0.2	2.65	0.16	0.04	1.67	0.12	15.2	0.07	0.18	0.21	0.17	0.14	0.15	0.32	0.42	0.08	0.19	0.02	0.81	0.46	0.34	14.82	0.5	48.41	0.22	0.13	0.09	0.32	5.61	0.11	15.93	2.25	0.1	6.45	0.1	0.21	0.02	0.12	0.07	0.09	0.25	0.11
HLF	2.4	0.11	1.65	3.42	1.38	0.07	0.43	0.18	0.04	5.7	1.25	2.0	1.02	0.7	2.34	4.71	0.67	2.33	0.47	0.82	0.9	0.08	0.01	0.13	0.83	2.2	0.16	0.3	0.64	0.02	0.13	0.42	0.05	0.13	0.39	0.52	6.21	0.18	0.17	0.08	1.58	0.11	0.35	4.55	0.45	2.51	0.26	0.24	1.39	1.8	10.33
RHOA	318.98	319.01	228.61	260.72	488.49	570.5	377.74	455.41	226.51	229.24	396.96	259.56	316.36	208.16	277.63	431.61	370.9	213.05	248.76	239.94	230.42	77.83	371.65	443.23	193.39	268.56	361.94	301.54	365.27	234.28	386.33	257.47	557.0	483.27	190.05	214.13	291.76	446.37	512.93	486.88	345.34	128.55	351.68	368.86	312.98	250.97	221.25	148.49	213.41	313.12	478.52
CDH17	0.05	0.08	0.1	0.1	0.05	0.08	0.06	74.58	0.04	0.14	0.05	0.03	0.07	0.07	0.16	0.15	2.4	0.02	0.07	0.09	0.04	0.03	0.03	0.31	0.04	0.01	0.11	0.05	0.11	0.04	0.05	0.06	0.04	0.02	0.02	0.03	0.08	0.34	0.01	0.05	0.03	0.06	0.02	0.04	0.06	0.05	0.08	0.13	0.03	0.23	0.21
TAL1	0.0	0.01	0.03	0.01	0.01	0.02	0.01	0.14	0.01	0.02	0.0	0.01	181.29	0.03	0.09	0.04	0.0	0.02	0.02	0.34	0.02	0.03	0.01	0.06	0.0	0.74	0.01	0.0	0.02	0.01	0.0	0.0	0.03	0.03	0.01	0.0	0.02	0.3	0.03	0.02	0.01	0.39	0.26	0.01	0.07	0.01	0.01	0.02	0.0	0.07	0.0
TLX1	0.02	0.0	0.02	0.03	0.0	0.01	1.95	0.63	0.01	0.02	0.04	0.08	0.08	0.62	6.08	0.03	0.07	0.03	0.01	0.96	0.44	2.25	2.87	0.01	0.0	22.39	0.02	2.72	0.0	0.01	0.0	0.05	0.0	0.01	0.02	0.06	0.1	1.48	0.06	0.01	0.06	6.97	0.0	0.53	0.01	0.01	0.07	0.34	0.01	0.63	0.05
ISX	0.01	0.03	0.01	0.02	0.0	0.0	0.03	0.01	0.0	0.01	0.03	0.01	0.0	0.01	0.0	0.04	0.0	0.03	0.01	0.03	0.01	0.0	0.02	0.07	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.01	0.72	0.01	0.0	0.01	0.01	0.07	0.12	0.02	0.0	0.01	0.28	0.0	0.01
NONO	266.21	217.98	236.99	281.62	361.57	311.46	452.63	396.56	288.05	351.34	367.19	317.24	380.84	494.71	685.3	240.61	257.97	387.51	271.22	370.52	214.39	149.05	256.24	395.91	177.3	397.81	190.44	249.35	342.09	193.87	323.33	252.24	192.98	330.25	352.92	290.73	294.38	631.54	216.99	451.31	341.44	273.01	366.32	294.28	424.1	228.38	216.67	137.19	281.94	215.58	245.91
FNBP1	25.07	62.79	20.91	28.63	19.46	17.37	20.48	17.96	14.73	21.93	32.1	11.34	18.85	8.14	24.69	15.79	21.5	21.74	26.55	18.66	31.53	6.94	18.64	28.79	25.91	5.68	13.55	20.47	18.74	5.87	9.26	6.76	13.99	32.38	19.71	16.81	17.54	22.36	20.63	43.51	19.61	0.63	20.9	17.87	19.76	21.93	21.55	14.81	26.49	22.13	13.24
ZCCHC8	11.13	19.45	27.47	27.72	18.76	11.22	15.89	40.37	12.77	12.25	15.24	25.08	22.01	27.37	21.55	21.41	19.34	18.05	27.74	14.91	34.62	18.89	23.08	21.68	26.89	16.31	11.74	26.35	19.61	9.87	27.66	19.86	11.91	17.84	19.16	21.16	42.69	18.44	13.76	19.27	31.09	23.21	13.71	21.28	21.13	9.07	25.56	36.88	23.77	31.76	16.91
DDX3X	161.33	153.74	145.21	142.21	136.85	143.37	103.57	242.84	115.85	119.89	225.48	144.49	128.3	93.65	146.95	101.23	152.43	250.24	101.2	177.77	58.31	51.86	136.75	251.25	126.34	108.69	143.37	130.11	124.19	60.03	134.21	151.53	88.71	131.18	112.94	137.5	60.99	177.39	136.16	215.86	204.88	112.88	256.66	102.48	161.17	96.44	123.63	49.97	132.1	133.55	114.31
TRIP11	7.74	12.47	9.19	6.03	9.9	6.23	6.42	14.22	5.38	9.94	5.86	10.31	9.82	17.43	15.54	16.75	9.62	8.53	14.55	3.66	7.22	3.81	10.59	15.08	9.81	6.64	8.39	12.63	15.44	4.14	6.26	13.14	8.35	1.76	8.74	8.98	13.84	10.74	10.27	8.53	5.75	6.69	7.62	14.56	8.81	6.81	14.88	3.84	8.17	18.31	14.21
